SECURITY_ID,SYMBOL,SYMBOL_NAME,ISIN,EXCH_ID
13061,360ONE,360 ONE WAM LIMITED,INE466L01038,NSE
13,ABB,ABB INDIA LIMITED,INE117A01022,NSE
21614,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,INE674K01013,NSE
10217,ADANIENSOL,ADANI ENERGY SOLUTION LTD,INE931S01010,NSE
25,ADANIENT,ADANI ENTERPRISES LIMITED,INE423A01024,NSE
3563,ADANIGREEN,ADANI GREEN ENERGY LTD,INE364U01010,NSE
15083,ADANIPORTS,ADANI PORT & SEZ LTD,INE742F01042,NSE
11703,ALKEM,ALKEM LABORATORIES LTD.,INE540L01014,NSE
1185,AMBER,AMBER ENTERPRISES (I) LTD,INE371P01015,NSE
1270,AMBUJACEM,AMBUJA CEMENTS LTD,INE079A01024,NSE
324,ANGELONE,ANGEL ONE LIMITED,INE732I01013,NSE
25780,APLAPOLLO,APL APOLLO TUBES LTD,INE702C01027,NSE
157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,INE437A01024,NSE
212,ASHOKLEY,ASHOK LEYLAND LTD,INE208A01029,NSE
236,ASIANPAINT,ASIAN PAINTS LIMITED,INE021A01026,NSE
14418,ASTRAL,ASTRAL LIMITED,INE006I01046,NSE
21238,AUBANK,AU SMALL FINANCE BANK LTD,INE949L01017,NSE
275,AUROPHARMA,AUROBINDO PHARMA LTD,INE406A01037,NSE
5900,AXISBANK,AXIS BANK LIMITED,INE238A01034,NSE
16669,BAJAJ-AUTO,BAJAJ AUTO LIMITED,INE917I01010,NSE
16675,BAJAJFINSV,BAJAJ FINSERV LTD.,INE918I01026,NSE
305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,INE118A01012,NSE
317,BAJFINANCE,BAJAJ FINANCE LIMITED,INE296A01032,NSE
2263,BANDHANBNK,BANDHAN BANK LIMITED,INE545U01014,NSE
4668,BANKBARODA,BANK OF BARODA,INE028A01039,NSE
4745,BANKINDIA,BANK OF INDIA,INE084A01016,NSE
2144,BDL,BHARAT DYNAMICS LIMITED,INE171Z01026,NSE
383,BEL,BHARAT ELECTRONICS LTD,INE263A01024,NSE
422,BHARATFORG,BHARAT FORGE LTD,INE465A01025,NSE
10604,BHARTIARTL,BHARTI AIRTEL LIMITED,INE397D01024,NSE
438,BHEL,BHEL,INE257A01026,NSE
11373,BIOCON,BIOCON LIMITED.,INE376G01013,NSE
8311,BLUESTARCO,BLUE STAR LIMITED,INE472A01039,NSE
2181,BOSCHLTD,BOSCH LIMITED,INE323A01026,NSE
526,BPCL,BHARAT PETROLEUM CORP  LT,INE029A01011,NSE
547,BRITANNIA,BRITANNIA INDUSTRIES LTD,INE216A01030,NSE
19585,BSE,BSE LIMITED,INE118H01025,NSE
342,CAMS,COMPUTER AGE MNGT SER LTD,INE596I01020,NSE
10794,CANBK,CANARA BANK,INE476A01022,NSE
21174,CDSL,CENTRAL DEPO SER (I) LTD,INE736A01011,NSE
760,CGPOWER,CG POWER AND IND SOL LTD,INE067A01029,NSE
685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,INE121A01024,NSE
694,CIPLA,CIPLA LTD,INE059A01026,NSE
20374,COALINDIA,COAL INDIA LTD,INE522F01014,NSE
11543,COFORGE,COFORGE LIMITED,INE591G01025,NSE
15141,COLPAL,COLGATE PALMOLIVE LTD.,INE259A01022,NSE
4749,CONCOR,CONTAINER CORP OF IND LTD,INE111A01025,NSE
17094,CROMPTON,CROMPT GREA CON ELEC LTD,INE299U01018,NSE
1901,CUMMINSIND,CUMMINS INDIA LTD,INE298A01020,NSE
772,DABUR,DABUR INDIA LTD,INE016A01026,NSE
8075,DALBHARAT,DALMIA BHARAT LIMITED,INE00R701025,NSE
9599,DELHIVERY,DELHIVERY LIMITED,INE148O01028,NSE
10940,DIVISLAB,DIVI S LABORATORIES LTD,INE361B01024,NSE
21690,DIXON,DIXON TECHNO (INDIA) LTD,INE935N01020,NSE
14732,DLF,DLF LIMITED,INE271C01023,NSE
19913,DMART,AVENUE SUPERMARTS LIMITED,INE192R01011,NSE
881,DRREDDY,DR. REDDY S LABORATORIES,INE089A01031,NSE
910,EICHERMOT,EICHER MOTORS LTD,INE066A01021,NSE
5097,ETERNAL,ETERNAL LIMITED,INE758T01015,NSE
676,EXIDEIND,EXIDE INDUSTRIES LTD,INE302A01020,NSE
1023,FEDERALBNK,FEDERAL BANK LTD,INE171A01029,NSE
14592,FORTIS,FORTIS HEALTHCARE LTD,INE061F01013,NSE
4717,GAIL,GAIL (INDIA) LTD,INE129A01019,NSE
7406,GLENMARK,GLENMARK PHARMACEUTICALS,INE935A01035,NSE
13528,GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,NSE
10099,GODREJCP,GODREJ CONSUMER PRODUCTS,INE102D01028,NSE
17875,GODREJPROP,GODREJ PROPERTIES LTD,INE484J01027,NSE
1232,GRASIM,GRASIM INDUSTRIES LTD,INE047A01021,NSE
2303,HAL,HINDUSTAN AERONAUTICS LTD,INE066F01020,NSE
9819,HAVELLS,HAVELLS INDIA LIMITED,INE176B01034,NSE
7229,HCLTECH,HCL TECHNOLOGIES LTD,INE860A01027,NSE
4244,HDFCAMC,HDFC AMC LIMITED,INE127D01025,NSE
1333,HDFCBANK,HDFC BANK LTD,INE040A01034,NSE
467,HDFCLIFE,HDFC LIFE INS CO LTD,INE795G01014,NSE
1348,HEROMOTOCO,HERO MOTOCORP LIMITED,INE158A01026,NSE
1363,HINDALCO,HINDALCO  INDUSTRIES  LTD,INE038A01020,NSE
1406,HINDPETRO,HINDUSTAN PETROLEUM CORP,INE094A01015,NSE
1394,HINDUNILVR,HINDUSTAN UNILEVER LTD.,INE030A01027,NSE
1424,HINDZINC,HINDUSTAN ZINC LIMITED,INE267A01025,NSE
20825,HUDCO,HSG & URBAN DEV CORPN LTD,INE031A01017,NSE
4963,ICICIBANK,ICICI BANK LTD.,INE090A01021,NSE
21770,ICICIGI,ICICI LOMBARD GIC LIMITED,INE765G01017,NSE
18652,ICICIPRULI,ICICI PRU LIFE INS CO LTD,INE726G01019,NSE
14366,IDEA,VODAFONE IDEA LIMITED,INE669E01016,NSE
11184,IDFCFIRSTB,IDFC FIRST BANK LIMITED,INE092T01019,NSE
220,IEX,INDIAN ENERGY EXC LTD,INE022Q01020,NSE
11809,IIFL,IIFL FINANCE LIMITED,INE530B01024,NSE
1512,INDHOTEL,THE INDIAN HOTELS CO. LTD,INE053A01029,NSE
14309,INDIANB,INDIAN BANK,INE562A01011,NSE
11195,INDIGO,INTERGLOBE AVIATION LTD,INE646L01027,NSE
5258,INDUSINDBK,INDUSIND BANK LIMITED,INE095A01012,NSE
29135,INDUSTOWER,INDUS TOWERS LIMITED,INE121J01017,NSE
1594,INFY,INFOSYS LIMITED,INE009A01021,NSE
7852,INOXWIND,INOX WIND LIMITED,INE066P01011,NSE
1624,IOC,INDIAN OIL CORP LTD,INE242A01010,NSE
13611,IRCTC,INDIAN RAIL TOUR CORP LTD,INE335Y01020,NSE
20261,IREDA,INDIAN RENEWABLE ENERGY,INE202E01016,NSE
2029,IRFC,INDIAN RAILWAY FIN CORP L,INE053F01010,NSE
1660,ITC,ITC LTD,INE154A01025,NSE
6733,JINDALSTEL,JINDAL STEEL LIMITED,INE749A01030,NSE
18143,JIOFIN,JIO FIN SERVICES LTD,INE758E01017,NSE
17869,JSWENERGY,JSW ENERGY LIMITED,INE121E01018,NSE
11723,JSWSTEEL,JSW STEEL LIMITED,INE019A01038,NSE
18096,JUBLFOOD,JUBILANT FOODWORKS LTD,INE797F01020,NSE
2955,KALYANKJIL,KALYAN JEWELLERS IND LTD,INE303R01014,NSE
12092,KAYNES,KAYNES TECHNOLOGY IND LTD,INE918Z01012,NSE
13310,KEI,KEI INDUSTRIES LTD.,INE878B01027,NSE
13359,KFINTECH,KFIN TECHNOLOGIES LIMITED,INE138Y01010,NSE
1922,KOTAKBANK,KOTAK MAHINDRA BANK LTD,INE237A01036,NSE
9683,KPITTECH,KPIT TECHNOLOGIES LIMITED,INE04I401011,NSE
19234,LAURUSLABS,LAURUS LABS LIMITED,INE947Q01028,NSE
1997,LICHSGFIN,LIC HOUSING FINANCE LTD,INE115A01026,NSE
9480,LICI,LIFE INSURA CORP OF INDIA,INE0J1Y01017,NSE
3220,LODHA,LODHA DEVELOPERS LIMITED,INE670K01029,NSE
11483,LT,LARSEN & TOUBRO LTD.,INE018A01030,NSE
24948,LTF,L&T FINANCE LIMITED,INE498L01015,NSE
17818,LTIM,LTIMINDTREE LIMITED,INE214T01019,NSE
10440,LUPIN,LUPIN LIMITED,INE326A01037,NSE
2031,M&M,MAHINDRA & MAHINDRA LTD,INE101A01026,NSE
19061,MANAPPURAM,MANAPPURAM FINANCE LTD,INE522D01027,NSE
15380,MANKIND,MANKIND PHARMA LIMITED,INE634S01028,NSE
4067,MARICO,MARICO LIMITED,INE196A01026,NSE
10999,MARUTI,MARUTI SUZUKI INDIA LTD.,INE585B01010,NSE
22377,MAXHEALTH,MAX HEALTHCARE INS LTD,INE027H01010,NSE
509,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,INE249Z01020,NSE
31181,MCX,MULTI COMMODITY EXCHANGE,INE745G01043,NSE
2142,MFSL,MAX FINANCIAL SERV LTD,INE180A01020,NSE
4204,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,INE775A01035,NSE
4503,MPHASIS,MPHASIS LIMITED,INE356A01018,NSE
23650,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,INE414G01012,NSE
6364,NATIONALUM,NATIONAL ALUMINIUM CO LTD,INE139A01034,NSE
13751,NAUKRI,INFO EDGE (I) LTD,INE663F01032,NSE
31415,NBCC,NBCC (INDIA) LIMITED,INE095N01031,NSE
17963,NESTLEIND,NESTLE INDIA LIMITED,INE239A01024,NSE
17400,NHPC,NHPC LTD,INE848E01016,NSE
15332,NMDC,NMDC LTD.,INE584A01023,NSE
11630,NTPC,NTPC LTD,INE733E01010,NSE
18721,NUVAMA,NUVAMA WEALTH MANAGE LTD,INE531F01023,NSE
6545,NYKAA,FSN E COMMERCE VENTURES,INE388Y01029,NSE
20242,OBEROIRLTY,OBEROI REALTY LIMITED,INE093I01010,NSE
10738,OFSS,ORACLE FIN SERV SOFT LTD.,INE881D01027,NSE
17438,OIL,OIL INDIA LTD,INE274J01014,NSE
2475,ONGC,OIL AND NATURAL GAS CORP.,INE213A01029,NSE
14413,PAGEIND,PAGE INDUSTRIES LTD,INE761H01022,NSE
17029,PATANJALI,PATANJALI FOODS LIMITED,INE619A01035,NSE
6705,PAYTM,ONE 97 COMMUNICATIONS LTD,INE982J01020,NSE
18365,PERSISTENT,PERSISTENT SYSTEMS LTD,INE262H01021,NSE
11351,PETRONET,PETRONET LNG LIMITED,INE347G01014,NSE
14299,PFC,POWER FIN CORP LTD.,INE134E01011,NSE
25358,PGEL,PG ELECTROPLAST LTD,INE457L01029,NSE
14552,PHOENIXLTD,THE PHOENIX MILLS LTD,INE211B01039,NSE
2664,PIDILITIND,PIDILITE INDUSTRIES LTD,INE318A01026,NSE
24184,PIIND,PI INDUSTRIES LTD,INE603J01030,NSE
10666,PNB,PUNJAB NATIONAL BANK,INE160A01022,NSE
18908,PNBHOUSING,PNB HOUSING FIN LTD.,INE572E01012,NSE
6656,POLICYBZR,PB FINTECH LIMITED,INE417T01026,NSE
9590,POLYCAB,POLYCAB INDIA LIMITED,INE455K01017,NSE
14977,POWERGRID,POWER GRID CORP. LTD.,INE752E01010,NSE
18457,POWERINDIA,HITACHI ENERGY INDIA LTD,INE07Y701011,NSE
11571,PPLPHARMA,PIRAMAL PHARMA LIMITED,INE0DK501011,NSE
25049,PREMIERENE,PREMIER ENERGIES LIMITED,INE0BS701011,NSE
20302,PRESTIGE,PRESTIGE ESTATE LTD,INE811K01011,NSE
18391,RBLBANK,RBL BANK LIMITED,INE976G01028,NSE
15355,RECLTD,REC LIMITED,INE020B01018,NSE
2885,RELIANCE,RELIANCE INDUSTRIES LTD,INE002A01018,NSE
9552,RVNL,RAIL VIKAS NIGAM LIMITED,INE415G01027,NSE
2963,SAIL,STEEL AUTHORITY OF INDIA,INE114A01011,NSE
30125,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,INE148I01020,NSE
17971,SBICARD,SBI CARDS & PAY SER LTD,INE018E01016,NSE
21808,SBILIFE,SBI LIFE INSURANCE CO LTD,INE123W01016,NSE
3045,SBIN,STATE BANK OF INDIA,INE062A01020,NSE
3103,SHREECEM,SHREE CEMENT LIMITED,INE070A01015,NSE
4306,SHRIRAMFIN,SHRIRAM FINANCE LIMITED,INE721A01047,NSE
3150,SIEMENS,SIEMENS LTD,INE003A01024,NSE
13332,SOLARINDS,SOLAR INDUSTRIES (I) LTD,INE343H01029,NSE
4684,SONACOMS,SONA BLW PRECISION FRGS L,INE073K01018,NSE
3273,SRF,SRF LTD,INE647A01010,NSE
3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,INE044A01036,NSE
3363,SUPREMEIND,SUPREME INDUSTRIES LTD,INE195A01028,NSE
12018,SUZLON,SUZLON ENERGY LIMITED,INE040H01021,NSE
27066,SWIGGY,SWIGGY LIMITED,INE00H001014,NSE
10243,SYNGENE,SYNGENE INTERNATIONAL LTD,INE398R01022,NSE
3432,TATACONSUM,TATA CONSUMER PRODUCT LTD,INE192A01025,NSE
3411,TATAELXSI,TATA ELXSI LIMITED,INE670A01012,NSE
3426,TATAPOWER,TATA POWER CO LTD,INE245A01021,NSE
3499,TATASTEEL,TATA STEEL LIMITED,INE081A01020,NSE
20293,TATATECH,TATA TECHNOLOGIES LIMITED,INE142M01025,NSE
11536,TCS,TATA CONSULTANCY SERV LT,INE467B01029,NSE
13538,TECHM,TECH MAHINDRA LIMITED,INE669C01036,NSE
312,TIINDIA,TUBE INVEST OF INDIA LTD,INE974X01010,NSE
3506,TITAN,TITAN COMPANY LIMITED,INE280A01028,NSE
3456,TMPV,TATA MOTORS PASS VEH LTD,INE155A01022,NSE
3518,TORNTPHARM,TORRENT PHARMACEUTICALS L,INE685A01028,NSE
13786,TORNTPOWER,TORRENT POWER LTD,INE813H01021,NSE
1964,TRENT,TRENT LTD,INE849A01020,NSE
8479,TVSMOTOR,TVS MOTOR COMPANY  LTD,INE494B01023,NSE
11532,ULTRACEMCO,ULTRATECH CEMENT LIMITED,INE481G01011,NSE
10753,UNIONBANK,UNION BANK OF INDIA,INE692A01016,NSE
10447,UNITDSPR,UNITED SPIRITS LIMITED,INE854D01024,NSE
14154,UNOMINDA,UNO MINDA LIMITED,INE405E01023,NSE
11287,UPL,UPL LIMITED,INE628A01036,NSE
18921,VBL,VARUN BEVERAGES LIMITED,INE200M01039,NSE
3063,VEDL,VEDANTA LIMITED,INE205A01025,NSE
3718,VOLTAS,VOLTAS LTD,INE226A01021,NSE
25907,WAAREEENER,WAAREE ENERGIES LIMITED,INE377N01017,NSE
3787,WIPRO,WIPRO LTD,INE075A01022,NSE
11915,YESBANK,YES BANK LIMITED,INE528G01035,NSE
7929,ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,INE010B01027,NSE
